,pert_iname,clinical_phase,moa,target,disease_area,indication,moa_nsclc,moa_group
228,aloin,Preclinical,angiogenesis inhibitor,,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
233,alpelisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,oncology,breast cancer,PI3K inhibitor,PI3K–AKT–mTOR
252,altiratinib,Phase 1,MET inhibitor|VEGFR inhibitor,KDR|MET|TEK,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
289,AMG-319,Phase 2,PI3K inhibitor,PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
290,AMG-337,Phase 2,MET inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
299,AMG319,Phase 2,PI3K inhibitor,PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
300,AMG458,Preclinical,MET inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
338,amonafide,Phase 3,topoisomerase inhibitor,TOP2A|TOP2B,,,Topoisomerase inhibitor,Topoisomerase inhibitor
353,amrubicin,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,small cell lung cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
354,amsacrine,Launched,topoisomerase inhibitor,KCNH2|TOP2A,hematologic malignancy,acute lymphoblastic leukemia (ALL),Topoisomerase inhibitor,Topoisomerase inhibitor
378,anecortave-acetate,Launched,angiogenesis inhibitor,,ophthalmology,macular degeneration,Angiogenesis inhibitor,Angiogenesis / VEGF axis
388,anlotinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR|PDGFRB,,,VEGFR inhibitor,Angiogenesis / VEGF axis
434,AP26113,Phase 2,ALK tyrosine kinase receptor inhibitor,ALK|EGFR,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
441,AR-42,Phase 1,HDAC inhibitor,HDAC1,,,HDAC inhibitor,HDAC inhibitor
447,arctigenin,Preclinical,MEK inhibitor,CHUK|MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
462,ARRY-334543,Phase 2/Phase 3,EGFR inhibitor,ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
477,AS-252424,Preclinical,PI3K inhibitor,PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
478,AS-604850,Preclinical,PI3K inhibitor,PIK3CA|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
479,AS-703026,Phase 2,MEK inhibitor,MAP2K1|MAP2K2,,,MEK inhibitor,MAPK (RAF→MEK)
481,ASA-404,Phase 3,angiogenesis inhibitor,,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
497,ASP3026,Phase 1,ALK tyrosine kinase receptor inhibitor,ALK,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
498,AST-1306,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
554,avitinib,Phase 2,EGFR inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
562,axitinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4,oncology,renal cell carcinoma (RCC),VEGFR inhibitor,Angiogenesis / VEGF axis
567,AZ-628,Preclinical,RAF inhibitor,BRAF|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
587,AZD2014,Phase 2,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
588,AZD2461,Phase 1,PARP inhibitor,,,,PARP inhibitor,DNA damage & repair
591,AZD3463,Preclinical,ALK tyrosine kinase receptor inhibitor|insulin growth factor receptor inhibitor,ALK|IGF1R,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
593,AZD3759,Phase 2/Phase 3,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
598,AZD4547,Phase 2/Phase 3,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|IGF1R|KDR,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
607,AZD6482,Phase 1,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
615,AZD8055,Phase 1,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
616,AZD8186,Phase 1,PI3K inhibitor,PIK3CB|PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
617,AZD8330,Phase 1,MEK inhibitor,MAP3K1,,,MEK inhibitor,MAPK (RAF→MEK)
619,AZD8835,Phase 1,PI3K inhibitor,PIK3CA|PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
620,AZD8931,Phase 2,EGFR inhibitor,EGFR|ERBB2|ERBB3,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
643,AZ5104,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
650,A66,Preclinical,PI3K inhibitor,PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
676,banoxantrone,Phase 1/Phase 2,topoisomerase inhibitor,TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
719,BEBT-908,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
728,belinostat,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,peripheral T-cell lymphoma (PTCL),HDAC inhibitor,HDAC inhibitor
730,belotecan,Phase 3,topoisomerase inhibitor,,,,Topoisomerase inhibitor,Topoisomerase inhibitor
795,beta-lapachone,Phase 2,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
818,BFH772,Phase 2,VEGFR inhibitor,,,,VEGFR inhibitor,Angiogenesis / VEGF axis
819,BGP-15,Phase 2,PARP inhibitor,,,,PARP inhibitor,DNA damage & repair
820,BGT226,Phase 1/Phase 2,PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
827,BI-847325,Phase 1,Aurora kinase inhibitor|MEK inhibitor,AURKA|AURKB|AURKC|MAP2K1|MAP2K2,,,MEK inhibitor,MAPK (RAF→MEK)
832,BIBU-1361,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
833,BIBX-1382,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
850,binimetinib,Launched,MEK inhibitor,MAP2K1|MAP2K2,oncology,melanoma,MEK inhibitor,MAPK (RAF→MEK)
860,bisantrene,Phase 2,topoisomerase inhibitor,,,,Topoisomerase inhibitor,Topoisomerase inhibitor
875,BIX-02188,Preclinical,MEK inhibitor,MAP2K5,,,MEK inhibitor,MAPK (RAF→MEK)
876,BIX-02189,Preclinical,MEK inhibitor,MAP2K5|MAPK7,,,MEK inhibitor,MAPK (RAF→MEK)
880,bleomycetin,Launched,EGFR expression inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
883,BLU9931,Preclinical,FGFR inhibitor,FGFR4,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
903,BMS-599626,Phase 1,EGFR inhibitor|protein tyrosine kinase inhibitor,EGFR|ERBB2|ERBB4,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
908,BMS-690514,Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|FLT3|KDR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
912,BMS-777607,Phase 1/Phase 2,AXL kinase inhibitor|c-Met inhibitor|FLT3 inhibitor|hepatocyte growth factor receptor inhibitor|macrophage migration inhibiting factor inhibitor|tyrosine kinase inhibitor,AXL|MERTK|MET|MST1R|TYRO3,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
916,BMS-817378,Phase 1,c-Met inhibitor|VEGFR inhibitor,KDR|MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
931,BNC105,Phase 2,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
957,brigatinib,Launched,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,ALK|EGFR,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
962,brivanib,Phase 3,FGFR inhibitor|VEGFR inhibitor,CYP3A4|FGFR1|FLT1|KCNH2|KDR,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
963,brivanib-alaninate,Phase 3,FGFR inhibitor|VEGFR inhibitor,FGFR3,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1015,buparlisib,Phase 3,PI3K inhibitor,PIK3CA|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
1032,butein,Preclinical,EGFR inhibitor|SRC inhibitor,ACE,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1057,BYK-204165,Preclinical,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
1064,cabazitaxel,Launched,microtubule inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,prostate cancer,Microtubule inhibitor,Mitotic / cell-cycle
1089,camptothecin,Phase 3,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
1095,canertinib,Phase 3,EGFR inhibitor,AKT1|EGFR|ERBB2|ERBB4,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1100,capecitabine,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer,Thymidylate synthase inhibitor,DNA damage & repair
1119,carbendazim,Launched,microtubule inhibitor|tubulin polymerization inhibitor,TP53|TUBB,infectious disease,fungicide,Microtubule inhibitor,Mitotic / cell-cycle
1127,carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer,Alkylating / Cross-linking agent,DNA damage & repair
1139,carmofur,Launched,thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer,Thymidylate synthase inhibitor,DNA damage & repair
1142,carmustine,Launched,DNA alkylating agent|DNA inhibitor,GSR,hematologic malignancy|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|multiple myeloma|glioblastoma|brainstem glioma|medulloblastoma|astrocytoma|ependymoma,Alkylating / Cross-linking agent,DNA damage & repair
1157,catharanthine,Preclinical,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
1159,CAY10505,Preclinical,PI3K inhibitor,PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
1167,CC-115,Phase 2,DNA protein kinase inhibitor|mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
1168,CC-223,Phase 2,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
1183,CCT196969,Preclinical,RAF inhibitor,,,,RAF inhibitor,MAPK (RAF→MEK)
1193,cediranib,Phase 3,KIT inhibitor|VEGFR inhibitor,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,,,VEGFR inhibitor,Angiogenesis / VEGF axis
1250,CEP-32496,Phase 1/Phase 2,RAF inhibitor,BRAF|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
1252,CEP-37440,Phase 1,ALK tyrosine kinase receptor inhibitor,ALK,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1262,ceritinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|FLT3|IGF1R|INSR|TSSK1B,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1272,cevipabulin,Phase 1,microtubule stimulant|tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
1291,CGP-52411,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1292,CGP-53353,Preclinical,EGFR inhibitor|PKC inhibitor,EGFR|PRKCB,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1311,chidamide,Launched,HDAC inhibitor,HDAC10|HDAC3,hematologic malignancy,peripheral T-cell lymphoma (PTCL),HDAC inhibitor,HDAC inhibitor
1372,chrysophanic-acid,Preclinical,EGFR inhibitor,EGFR|MTOR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1375,CH5132799,Phase 1,PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
1422,cinoxacin,Launched,topoisomerase inhibitor,,infectious disease,urinary tract infections,Topoisomerase inhibitor,Topoisomerase inhibitor
1443,cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer,Alkylating / Cross-linking agent,DNA damage & repair
1445,citarinostat,Phase 1,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
1452,CK-101,Preclinical,EGFR inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1518,CNX-2006,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1523,cobimetinib,Launched,MEK inhibitor,MAP2K1,oncology,melanoma,MEK inhibitor,MAPK (RAF→MEK)
1528,colchicine,Launched,microtubule inhibitor,GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,rheumatology|endocrinology,gout|fever,Microtubule inhibitor,Mitotic / cell-cycle
1534,combretastatin-A-4,Phase 2,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
1540,copanlisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,follicular lymphoma,PI3K inhibitor,PI3K–AKT–mTOR
1566,CP-724714,Phase 2,EGFR inhibitor|protein tyrosine kinase inhibitor,ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1596,crizotinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1599,crolibulin,Phase 1/Phase 2,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
1616,CUDC-101,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1618,CUDC-907,Phase 2,PI3K inhibitor,HDAC2|PIK3R1,,,PI3K inhibitor,PI3K–AKT–mTOR
1629,CXD101,Phase 1/Phase 2,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
1645,cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer,Alkylating / Cross-linking agent,DNA damage & repair
1666,CYT-997,Phase 2,tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
1670,cytochalasin-B,Phase 2,microtubule inhibitor,ACTB,,,Microtubule inhibitor,Mitotic / cell-cycle
1675,CZC24832,Preclinical,PI3K inhibitor,PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
1691,D-64131,Preclinical,microtubule inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
1696,dabrafenib,Launched,RAF inhibitor,BRAF|LIMK1|NEK11|RAF1|SIK1,oncology,melanoma,RAF inhibitor,MAPK (RAF→MEK)
1697,dacarbazine,Launched,DNA alkylating agent,PGD|POLA2,oncology|hematologic malignancy,melanoma|Hodgkin's lymphoma,Alkylating / Cross-linking agent,DNA damage & repair
1698,dacinostat,Phase 1,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,HDAC inhibitor,HDAC inhibitor
1700,dacomitinib,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1740,daunorubicin,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL),Topoisomerase inhibitor,Topoisomerase inhibitor
1768,deforolimus,Phase 3,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
1828,dexrazoxane,Launched,chelating agent|topoisomerase inhibitor,TOP2A|TOP2B,cardiology,cardiomyopathy,Topoisomerase inhibitor,Topoisomerase inhibitor
1841,dianhydrogalactitol,Phase 3,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
1902,dimesna,Phase 3,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
1951,DMH1,Preclinical,ALK tyrosine kinase receptor inhibitor,ACVR1,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1952,DMH4,Preclinical,VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
1961,docetaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,breast cancer|non-small cell lung cancer (NSCLC)|prostate cancer|gastric adenocarcinoma|head and neck squamous cell carcinoma (HNSCC),Microtubule inhibitor,Mitotic / cell-cycle
1970,dolastatin-10,Phase 2,tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
1985,dovitinib,Phase 3,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
1990,doxifluridine,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,Thymidylate synthase inhibitor,DNA damage & repair
1992,doxorubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma,Topoisomerase inhibitor,Topoisomerase inhibitor
2002,DR-2313,Preclinical,PARP inhibitor,PARP1|PARP3,,,PARP inhibitor,DNA damage & repair
2015,droxinostat,Preclinical,HDAC inhibitor,HDAC6|HDAC8,,,HDAC inhibitor,HDAC inhibitor
2024,duvelisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
2039,EB-47,Preclinical,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
2057,EDO-S101,Phase 1/Phase 2,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
2074,EGF816,Phase 2,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2090,elemene,Phase 3,VEGFR inhibitor,,,,VEGFR inhibitor,Angiogenesis / VEGF axis
2106,EMD-1214063,Phase 2,hepatocyte growth factor receptor inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2128,encorafenib,Launched,RAF inhibitor,BRAF,oncology,melanoma,RAF inhibitor,MAPK (RAF→MEK)
2129,endo-IWR-1,Preclinical,PARP inhibitor,TNKS|TNKS2,,,PARP inhibitor,DNA damage & repair
2136,ENMD-2076,Phase 2,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor,AURKA|FLT3|KDR|PDGFRA|PTK2|SRC,,,VEGFR inhibitor,Angiogenesis / VEGF axis
2138,enoxacin,Launched,topoisomerase inhibitor,TOP2A,infectious disease,urinary tract infections|gonorrhea,Topoisomerase inhibitor,Topoisomerase inhibitor
2144,entasobulin,Preclinical,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
2146,entinostat,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9,,,HDAC inhibitor,HDAC inhibitor
2147,entrectinib,Launched,ALK tyrosine kinase receptor inhibitor|proto-oncogene tyrosine protein kinase inhibitor,ALK|NTRK1|NTRK2|NTRK3|ROS1,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2167,epirubicin,Launched,topoisomerase inhibitor,CHD1|TOP2A,oncology,breast cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
2172,epothilone-A,Preclinical,microtubule stabilizing agent,,,,Microtubule inhibitor,Mitotic / cell-cycle
2173,epothilone-B,Phase 3,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
2174,epothilone-D,Phase 2,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
2195,erbstatin-analog,Preclinical,EGFR inhibitor|tyrosine kinase inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2197,erdafitinib,Launched,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2203,eribulin,Launched,microtubule inhibitor,,oncology,breast cancer,Microtubule inhibitor,Mitotic / cell-cycle
2205,erlotinib,Launched,EGFR inhibitor,EGFR|NR1I2,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2232,estramustine,Launched,DNA alkylating agent,ESR1|ESR2|MAP1A|MAP2,oncology,prostate cancer,Alkylating / Cross-linking agent,DNA damage & repair
2233,estramustine-phosphate,Launched,DNA synthesis inhibitor|microtubule inhibitor,ESR1|ESR2|MAP1A|MAP2,oncology,prostate cancer,Microtubule inhibitor,Mitotic / cell-cycle
2285,etoposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,non-small cell lung cancer (NSCLC),Topoisomerase inhibitor,Topoisomerase inhibitor
2286,etoposide-phosphate,Launched,topoisomerase inhibitor,TOP2A,oncology,testicular carcinoma|small cell lung cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
2290,ETP-45658,Preclinical,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
2305,everolimus,Launched,mTOR inhibitor,MTOR,oncology|neurology/psychiatry|genetics|urology,breast cancer|neuroendocrine tumors of pancreatic origin (PNET)|renal cell carcinoma (RCC)|subependymal giant cell astrocytoma (SEGA)|tuberous sclerosis complex (TSC)|renal angiomyolipoma,mTOR inhibitor,PI3K–AKT–mTOR
2315,exatecan-mesylate,Phase 3,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
2328,E7449,Phase 2,PARP inhibitor,PARP1|PARP2|TNKS|TNKS2,,,PARP inhibitor,DNA damage & repair
2329,E7820,Phase 2,angiogenesis inhibitor,,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
2359,fenbendazole,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites|gastrointestinal roundworms,Microtubule inhibitor,Mitotic / cell-cycle
2379,FERb-033,Preclinical,EGFR inhibitor,ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2423,fleroxacin,Launched,topoisomerase inhibitor,TOP2A,infectious disease|gastroenterology,gonorrhea|enteritis|diarrhea|respiratory tract infections,Topoisomerase inhibitor,Topoisomerase inhibitor
2434,flubendazole,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites,Microtubule inhibitor,Mitotic / cell-cycle
